library,specimen_id,sample_accession,experiment_accession,run_accession,ncbi_taxid,scientific_name,family_taxid,family_name,country,prefix
BXA:CDX,TROM_V_89752,SAMEA8202112,ERX5310107,ERR5529646,401879,Artemisia_borealis,4210,Asteraceae,Canada,TV89752
CDM:AFC,TROM_V_90253,SAMEA8202135,ERX5310108,ERR5529647,654647,Potentilla_rubricaulis,3745,Rosaceae,Canada,TV90253
CDM:ACU,TROM_V_5364,SAMEA8201866,ERX5310109,ERR5529648,37431,Lycopodiella_inundata,3250,Lycopodiaceae,Norway,TV5364
BXA:AGG,TROM_V_56503,SAMEA8201883,ERX5310110,ERR5529649,145517,Centaurea_scabiosa,4210,Asteraceae,Norway,TV56503
CDM:AMH,TROM_V_56739,SAMEA8201886,ERX5310111,ERR5529650,669770,Pedicularis_lanata,91896,Orobanchaceae,Svalbard,TV56739
BXA:CDF,TROM_V_201154,SAMEA8201693,ERX5310112,ERR5529651,171814,Draba_cana,3700,Brassicaceae,Greenland,TV201154
BXA:CDJ,TROM_V_65680,SAMEA8201971,ERX5310113,ERR5529652,286926,Ranunculus_lapponicus,3440,Ranunculaceae,Svalbard,TV65680
BMB:BG,TROM_V_23380,SAMEA8201756,ERX5310114,ERR5529653,1623465,Angelica_archangelica_subsp_litoralis,4037,Apiaceae,Norway,TV23380
CDM:ADP,TROM_V_135743,SAMEA8201005,ERX5310115,ERR5529654,669622,Antennaria_rosea,4210,Asteraceae,Greenland,TV135743
CDM:AMQ,TROM_V_66866,SAMEA8201975,ERX5310116,ERR5529655,270396,Sabulina_rossii,3568,Caryophyllaceae,Svalbard,TV66866
CDM:ASZ,TROM_V_134771,SAMEA8200953,ERX5310117,ERR5529656,649480,Agrostis_clavata,4479,Poaceae,Sweden,TV134771
BXA:APA,TROM_V_2846,SAMEA8201760,ERX5310118,ERR5529657,4472,Lemna_minor,4454,Araceae,Norway,TV2846
BXA:CHK,TROM_V_13489,SAMEA8200954,ERX5310119,ERR5529658,154990,Euphorbia_helioscopia,3977,Euphorbiaceae,Norway,TV13489
BXA:CIY,TROM_V_108776,SAMEA8200850,ERX5310120,ERR5529659,29686,Melica_uniflora,4479,Poaceae,Norway,TV108776
BXA:CIL,TROM_V_44717,SAMEA8201835,ERX5310121,ERR5529660,286974,Ranunculus_polyanthemos,3440,Ranunculaceae,Norway,TV44717
BXA:BRM,TROM_V_48892,SAMEA8201855,ERX5310122,ERR5529661,1891596,Sorbus_norvegica,3745,Rosaceae,Norway,TV48892
BXA:BFD,TROM_V_172925,SAMEA8201465,ERX5310123,ERR5529662,1892830,Taraxacum_sp_MFM-2016_sect_Erythrosperma,4210,Asteraceae,Norway,TV172925
